0.00000e+00,0.00000e+00,0.00000e+00,1.00000e-01,0.00000e+00,0.00000e+00,1.00000e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
3.33333e-02,4.11231e-04,-2.80683e-02,1.25233e-01,-6.61821e-02,3.33898e-03,4.32906e-02,-6.26007e-02,-3.48330e-01,2.06976e+00,-2.44171e+00,-7.59845e-01,-1.34701e+00
6.66667e-02,-8.91227e-04,-3.46585e-02,1.90497e-01,-1.40761e-01,-1.79497e-02,1.55347e-02,3.18997e-02,-1.31686e-01,1.85188e+00,-2.04976e+00,-5.14978e-01,-5.03378e-01
1.00000e-01,2.78880e-03,-3.80446e-02,2.49664e-01,-2.04748e-01,-3.29490e-02,3.42037e-03,1.77991e-01,-7.38265e-02,1.69605e+00,-1.80199e+00,-4.04280e-01,-2.69058e-01
1.33333e-01,1.02239e-02,-3.96746e-02,3.03208e-01,-2.61233e-01,-4.55617e-02,-4.03848e-03,2.58476e-01,-2.57520e-02,1.51243e+00,-1.59017e+00,-3.57805e-01,-1.93249e-01
1.66667e-01,1.95482e-02,-3.98997e-02,3.50414e-01,-3.10943e-01,-5.69492e-02,-9.96451e-03,2.94802e-01,1.01992e-02,1.31969e+00,-1.39522e+00,-3.27079e-01,-1.68353e-01
2.00000e-01,2.96289e-02,-3.91198e-02,3.91333e-01,-3.54445e-01,-6.73934e-02,-1.53930e-02,3.06255e-01,3.48051e-02,1.13745e+00,-1.21788e+00,-3.00097e-01,-1.59674e-01
2.33333e-01,3.98310e-02,-3.76699e-02,4.26459e-01,-3.92330e-01,-7.69594e-02,-2.06308e-02,3.03459e-01,5.07854e-02,9.72832e-01,-1.05812e+00,-2.74166e-01,-1.55593e-01
2.66667e-01,4.97904e-02,-3.57942e-02,4.56420e-01,-4.25183e-01,-8.56810e-02,-2.57524e-02,2.92795e-01,6.07964e-02,8.27360e-01,-9.15288e-01,-2.49242e-01,-1.51924e-01
3.00000e-01,5.92953e-02,-3.36761e-02,4.81891e-01,-4.53579e-01,-9.35969e-02,-3.07395e-02,2.77530e-01,6.63409e-02,7.00732e-01,-7.88435e-01,-2.25757e-01,-1.47377e-01
3.33333e-01,6.82464e-02,-3.14345e-02,5.03511e-01,-4.78077e-01,-1.00765e-01,-3.55655e-02,2.60183e-01,6.90895e-02,5.90702e-01,-6.76291e-01,-2.03795e-01,-1.42364e-01
3.66667e-01,7.66052e-02,-2.91390e-02,5.21760e-01,-4.99109e-01,-1.07232e-01,-4.02143e-02,2.41947e-01,6.98300e-02,4.95755e-01,-5.77947e-01,-1.83386e-01,-1.36849e-01
4.00000e-01,8.43590e-02,-2.68459e-02,5.37091e-01,-5.17089e-01,-1.13058e-01,-4.46688e-02,2.23594e-01,6.89562e-02,4.14592e-01,-4.92187e-01,-1.64966e-01,-1.30778e-01
4.33333e-01,9.15226e-02,-2.45942e-02,5.49946e-01,-5.32435e-01,-1.18308e-01,-4.89233e-02,2.05938e-01,6.72164e-02,3.45210e-01,-4.17733e-01,-1.48362e-01,-1.24675e-01
